T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,kmeans
0.606693128,0.716645593,0.801149512,0.870943145,0.947914919,1.049576294,1.245704419,1.388827442,1.418200677,1.39366471,1.32682077,1.3032896,1.387668685,1.504974477,1.588467315,7
0.999120413,1.083350493,1.17603279,1.248755232,1.312745909,1.374200314,1.475778264,1.607709202,1.76322525,1.881411239,1.921383019,1.931826974,1.947514781,1.948847656,2.003778912,7
2.074019756,2.118699324,2.13806949,2.157154978,2.180444503,2.226919569,2.267624995,2.246019768,2.29216977,2.33268037,2.350530785,2.34686442,2.346035283,2.291466896,2.215273017,4
0.811777589,0.86146248,0.907707449,0.929524564,1.012284039,1.092360796,1.210100076,1.345528821,1.517370924,1.63263092,1.655887664,1.656722637,1.695802341,1.705703338,1.776054819,7
1.883612327,1.955064973,1.968626352,1.968082122,1.98440691,2.041703477,2.062808321,2.070279357,2.119481724,2.190633466,2.241143757,2.263763376,2.302775451,2.298393671,2.316758727,7
1.355853449,1.434679754,1.546485137,1.622084939,1.714476277,1.824386904,1.960752261,2.087550596,2.188778882,2.244149934,2.212032479,2.222081036,2.305989632,2.375382869,2.423130117,0
0.486784935,0.636690181,0.739993903,0.769334376,0.807328797,0.842895738,0.957107258,1.080284117,1.129924525,1.088590429,1.028395528,0.985156105,0.99833142,1.091331401,1.222887932,7
0.583912682,0.710668649,0.775434552,0.827346781,0.891370464,0.972122366,1.134959519,1.240610918,1.259589721,1.234284687,1.172616446,1.146883132,1.210579268,1.34234934,1.436515785,7
1.938648393,1.983385472,2.055009445,2.182119343,2.287124747,2.327820167,2.321074256,2.323340447,2.309839709,2.337434583,2.375836094,2.388337552,2.341131342,2.287566127,2.292431179,4
2.557821404,2.446891427,2.296101096,2.173650662,1.973051173,1.731765844,1.496086228,1.285585627,1.11135358,0.983374732,0.816056572,0.724193883,0.616595851,0.522477408,0.49230047,5
0.929414384,0.955746085,1.084840407,1.199918166,1.26347399,1.29436246,1.333285906,1.373700241,1.439168615,1.573505295,1.567175801,1.574815595,1.586610355,1.550150247,1.531784594,7
1.582377514,1.591557062,1.63815538,1.64879877,1.715869427,1.806832231,1.866236998,1.864974732,1.919876211,2.05453583,2.037125491,2.086559149,2.125044059,2.075876507,2.022861342,7
1.977925353,1.984475131,2.074646203,2.182753021,2.229650437,2.2847668,2.293120107,2.18784607,2.108611948,2.092780306,1.934444157,1.83058926,1.728043861,1.492165712,1.281499988,0
0.859944339,0.727265111,0.625010968,0.553200616,0.561427838,0.492864408,0.453520863,0.425677838,0.439269222,0.426310361,0.403670228,0.350833842,0.317947944,0.264883877,0.244311892,8
0.620731684,0.544012737,0.498118602,0.46891491,0.502495878,0.4530362,0.430246022,0.412266038,0.436541486,0.435128296,0.416041091,0.35670745,0.328211993,0.282209002,0.249891861,8
2.37306434,2.247699161,2.042494281,1.81063227,1.673821614,1.452338972,1.274119019,1.126575171,1.018510321,0.937995487,0.836982458,0.718920236,0.650687742,0.539891868,0.465099437,3
1.639872856,1.338833432,1.100732424,0.866968169,0.712986761,0.583886307,0.4862387,0.413370526,0.331453176,0.31128185,0.287812697,0.29554246,0.237924135,0.233550492,0.233264463,1
1.987992644,1.926732637,1.926874459,1.816447941,1.719306357,1.626710911,1.458980952,1.26049334,1.155462742,1.085582772,0.976667934,0.942659797,0.823588074,0.738347716,0.698799057,4
0.449764353,0.553798858,0.653441393,0.7157537,0.76904236,0.8042787,0.860486076,0.912280882,0.88669895,0.842582084,0.818062824,0.892482603,0.933716394,0.914739029,0.826360425,0
2.775008337,2.931482956,2.772621531,2.810994563,2.721148761,2.443156798,2.334400582,2.152263033,1.95597227,1.87698773,1.750659745,1.689892213,1.681322466,1.695969635,1.962001137,8
2.447185613,2.581130131,2.528804554,2.649679152,2.652064178,2.512525614,2.516699939,2.479940038,2.399022076,2.449864975,2.425708444,2.36680638,2.282457633,2.173920216,2.324889782,1
1.940049445,1.984167416,1.850096122,1.803302179,1.685790957,1.427907399,1.311499335,1.190896181,1.128893431,1.168091989,1.207100273,1.23393845,1.231331757,1.183030502,1.314562986,8
0.61717385,0.737907809,0.85251018,0.918626345,0.973527161,0.988930468,1.058506445,1.110579089,1.057751431,0.980007707,0.916815984,0.937858415,0.94187387,0.913591194,0.865220105,0
1.472960413,1.589020701,1.701612055,1.859807229,1.974027945,2.080345258,2.173035836,2.255000803,2.288718189,2.323235369,2.331242222,2.317433864,2.253982104,2.145393632,2.101931681,7
2.411973671,2.615564564,2.637240513,2.813678287,2.841762588,2.711113043,2.701065026,2.659653956,2.546783664,2.542871209,2.464411985,2.343034471,2.205813091,2.019940467,2.146282117,1
1.144564313,1.259032025,1.378189476,1.517595171,1.670011776,1.82453054,1.942452381,2.059047416,2.152873994,2.207816346,2.236087846,2.259373585,2.24382104,2.170293719,2.129713439,7
1.98451032,2.024456994,2.019649587,2.043865966,2.033644383,2.043826375,2.042918287,2.040075738,2.030829401,2.046651967,2.064044214,2.083232725,2.065369826,1.968723598,1.983364074,7
0.478705712,0.587696095,0.692155489,0.755614448,0.811612204,0.844720061,0.902973987,0.955051086,0.928256221,0.878019765,0.844394734,0.908285013,0.938916702,0.915776284,0.836090529,0
0.893511789,1.087770198,1.293137843,1.479701351,1.670573843,1.835790434,1.998863581,2.115218351,2.148633518,2.140954507,2.062211099,1.97957821,1.895946854,1.832652444,1.795076125,4
1.853457464,1.888266744,1.728684405,1.672842181,1.531490556,1.300966262,1.203975232,1.120441255,1.096142903,1.161226037,1.192809423,1.208122088,1.201614982,1.142680344,1.309063475,8
1.900347389,1.894189583,1.871221764,1.855863393,1.843057174,1.869569133,1.862693998,1.843456225,1.826895285,1.82415642,1.833300294,1.863002447,1.893053165,1.809627137,1.827377157,7
1.956596511,2.003549006,2.016535867,2.047386979,2.056986837,2.079078566,2.080884857,2.079216155,2.070311803,2.078930395,2.085546243,2.097417193,2.089315762,1.997294741,1.998415992,7
2.255651003,2.369042542,2.06252468,2.060776019,1.856407148,1.529287746,1.416895916,1.32296369,1.270098027,1.36808868,1.429173147,1.542069226,1.559288609,1.450073343,1.660408324,8
0.681121691,0.8133909,0.936791134,1.005264985,1.056990211,1.065102015,1.141800877,1.191525841,1.12470128,1.035754479,0.957467605,0.95485628,0.950367108,0.92532094,0.891158145,0
2.163693424,2.171273137,2.140244018,2.172630657,2.162142392,2.13333555,2.166316987,2.175531113,2.163764816,2.217690611,2.243890302,2.255065981,2.244324009,2.197346929,2.258591849,7
1.548329189,1.760214884,1.933365449,2.112947772,2.23467532,2.306713157,2.398224047,2.421533098,2.360419662,2.311834502,2.202665902,2.09766417,1.993527847,1.909215762,1.88383461,4
2.74074515,3.009477466,2.789007429,2.98283614,2.952276313,2.616706181,2.557742671,2.455979824,2.332145963,2.417502225,2.334052094,2.276175052,2.255150143,2.165003981,2.449886138,1
0.078385347,0.081251945,0.106902311,0.159454445,0.229055847,0.313460866,0.424065948,0.581786372,0.766005813,0.936778072,1.117151008,1.294878919,1.4904568,1.655362116,1.793953136,7
2.795590112,2.982340047,2.878669032,2.944198545,2.883358074,2.621169448,2.532799652,2.382137162,2.206478282,2.130498193,1.961574786,1.832668604,1.718969077,1.695095132,1.976216883,1
0.997829228,1.214879616,1.41407828,1.583150191,1.77585308,1.933950054,2.061940449,2.13144614,2.112415066,2.058956071,1.966215445,1.893293847,1.805940239,1.720645096,1.659798433,4
0.933699621,1.142849413,1.306014864,1.48592066,1.697647798,1.826450057,1.933222204,1.987147018,1.953475158,1.901158642,1.811716567,1.760413406,1.663793926,1.533943375,1.42421886,4
2.26561897,2.359750142,2.137764921,2.070886007,1.869573434,1.552658556,1.410930485,1.287717212,1.218448799,1.280429462,1.331713518,1.4162001,1.475908753,1.40717646,1.538101336,8
2.650550008,2.86321737,2.853158589,2.948397458,2.927990149,2.720757831,2.626860608,2.501177208,2.362692722,2.284569566,2.120909207,1.943299227,1.7265952,1.596815058,1.805623754,1
1.187613281,1.409757947,1.611591619,1.786479232,1.952653272,2.081292672,2.193676612,2.239969977,2.196362755,2.135162335,2.030277884,1.944571935,1.847360071,1.763088498,1.714612502,4
1.241523563,1.44054988,1.671152172,1.860410886,1.968564013,1.99329484,2.026524895,2.011868727,1.926813935,1.86826121,1.741611941,1.57891982,1.405279423,1.296199403,1.295140082,4
1.704496135,1.889590468,2.004924279,2.169346234,2.269224258,2.330156876,2.39829501,2.434276962,2.42090152,2.431326899,2.365317023,2.283684583,2.170915256,2.037635343,2.031032047,4
1.469525171,1.654133047,1.817588901,2.006538009,2.137723722,2.228684094,2.330298749,2.397246231,2.383178395,2.363268685,2.276774679,2.179572612,2.064573739,1.969382707,1.95974212,4
1.121741371,1.211722274,1.326052609,1.448187642,1.561224546,1.719778961,1.843506435,1.951677054,2.053045083,2.132047899,2.173106423,2.208549252,2.227565934,2.184241866,2.176818999,7
0.899662414,1.077066516,1.238849104,1.433040666,1.630961534,1.74155615,1.83918135,1.883933713,1.837402413,1.777614362,1.69041967,1.644281532,1.530446935,1.380205409,1.288024656,4
2.724685858,2.940791272,2.916154702,3.041047076,3.021604043,2.808717024,2.738655494,2.626610441,2.487250938,2.440759407,2.32168021,2.176637032,1.990370618,1.845673898,2.028465551,1
1.66193858,1.884855947,2.092298227,2.254313439,2.321221516,2.292914989,2.281538079,2.236546823,2.134493035,2.036753833,1.862518236,1.713318775,1.508197152,1.377583325,1.402409034,4
