T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,kmeans
1.583084199,1.657393921,1.732354689,1.767536692,1.81902098,1.891414131,1.927932022,1.982707055,2.078069359,2.142696924,2.174345443,2.219545682,2.288486869,2.298516162,2.331794665,7
1.034938835,1.139441666,1.238685617,1.320022569,1.432733082,1.530635714,1.639413447,1.754810812,1.891164338,1.978513571,1.97624358,1.964376573,2.009037338,2.059590624,2.129240928,7
0.583567843,0.703721063,0.777271924,0.823377432,0.876215482,0.944699308,1.081337655,1.161460588,1.158085585,1.123506532,1.06271635,1.039975341,1.107374894,1.241043438,1.3475865,7
0.995039786,1.125063767,1.156406985,1.141890122,1.1046438,1.045594415,1.036161954,1.148181274,1.272696742,1.364932142,1.430419659,1.480531757,1.515890417,1.565738006,1.700727088,7
1.834849328,1.862701513,1.924022703,2.024679933,2.092437549,2.112176071,2.16204715,2.249321881,2.271378419,2.306488865,2.346152702,2.351938794,2.31354964,2.331634082,2.414525762,7
1.962340932,2.013819546,1.89794319,1.827287418,1.722398505,1.551323764,1.464575478,1.338816758,1.193807381,1.062425183,0.880923027,0.741778399,0.632000151,0.562095276,0.554604665,2
3.161641889,3.097011154,3.051166825,2.955795164,2.851286713,2.711838787,2.536624358,2.284922449,2.02760477,1.857440838,1.579596755,1.309442154,1.105031511,0.896530725,0.734982872,3
0.550807843,0.488187918,0.460986533,0.462146906,0.430672001,0.397082617,0.347297021,0.34114487,0.286348603,0.280784001,0.254906083,0.301849838,0.253670515,0.260515516,0.290718538,8
1.297494771,1.488900013,1.671451676,1.868213911,2.021678248,2.129492703,2.252870237,2.32984313,2.309954389,2.285408288,2.189262188,2.088384624,1.985978242,1.910132153,1.891447491,4
0.764685891,0.87636673,0.967685847,1.005388629,1.038314538,1.034222628,1.083086454,1.059008067,0.977657888,0.907539008,0.853716959,0.860342244,0.863847716,0.850328528,0.822660002,0
1.845333874,1.831840175,1.810895546,1.803020254,1.789795247,1.812708511,1.797114893,1.785528551,1.781910869,1.82955188,1.881034844,1.934034899,1.963321954,1.885061911,1.920608722,7
2.624057973,2.843863723,2.697082692,2.856960055,2.845970253,2.591700779,2.548659658,2.467349217,2.371215439,2.44946009,2.387598292,2.332778269,2.284685973,2.197807939,2.424716395,1
0.092565046,0.152198811,0.224082212,0.302150322,0.359746816,0.462661958,0.592551539,0.622550168,0.653586969,0.712275607,0.692387761,0.735310198,0.799270909,0.859865434,0.901022742,7
0.666041482,0.775502063,0.881591546,0.932257805,0.973862933,0.980530242,1.049112901,1.06702485,0.999410231,0.928019187,0.871710128,0.894523342,0.901052677,0.879470656,0.832555932,0
1.170453591,1.336768671,1.507326366,1.691721091,1.858476819,2.00547348,2.131437485,2.235914577,2.281947216,2.30117772,2.245034624,2.164651917,2.059900769,1.973551573,1.955480966,4
0.852782657,1.028240095,1.231116979,1.416523365,1.578347666,1.630213173,1.692435331,1.704537837,1.648451347,1.575165579,1.489915511,1.390724309,1.253046117,1.169149604,1.152963545,4
0.654483809,0.698275245,0.760237026,0.87473133,1.018758674,1.162834635,1.303645998,1.46162203,1.631349072,1.756415127,1.877885013,1.995206446,2.082024288,2.09468957,2.154050633,7
1.685687161,1.701114409,1.553609259,1.504062459,1.375404664,1.176776521,1.1100495,1.054417301,1.04546313,1.106959924,1.111178234,1.122538884,1.096527659,1.054499125,1.240988743,8
2.41890812,2.468486472,2.409209377,2.490362396,2.501066881,2.394022561,2.39704453,2.354694183,2.314001964,2.370531645,2.365795981,2.339540179,2.312073194,2.271330499,2.377622849,1
0.258076948,0.276505711,0.310662797,0.381711641,0.461233663,0.571514303,0.721916007,0.879805744,1.073415118,1.263939727,1.463296116,1.628486344,1.788731164,1.89489111,2.015004779,7
1.012515047,1.19483488,1.38413599,1.57382941,1.762100945,1.915923142,2.058222846,2.180275504,2.220786271,2.224250347,2.157303652,2.074056351,1.973537272,1.905120895,1.881176477,4
2.676719292,2.952531129,2.781272121,2.982274869,2.969620985,2.669046212,2.616478546,2.522452747,2.405241272,2.500324888,2.420345199,2.337487342,2.257291545,2.151765766,2.42307304,1
2.352288897,2.436014277,2.397338128,2.489954799,2.497605619,2.411033586,2.416397576,2.401692924,2.35891858,2.399210622,2.386617297,2.348904754,2.279003545,2.169976285,2.273324032,1
2.715510743,2.919683063,2.873532079,2.953505137,2.916555709,2.683782139,2.589502954,2.458157153,2.300582378,2.218578775,2.038157011,1.860529428,1.680640848,1.607278817,1.85839892,1
1.734445803,1.948628982,2.080443613,2.251897869,2.35669133,2.396371248,2.467589875,2.490732651,2.427976448,2.39396268,2.299735478,2.199569784,2.081889352,1.969544019,1.958048751,4
2.650875324,2.870019276,2.871026138,3.00760586,3.007508627,2.818691608,2.753238032,2.652849593,2.522755638,2.467507531,2.362192937,2.227598705,2.037544905,1.86880526,2.006614522,1
2.359213159,2.463742373,2.274831806,2.225652166,2.044285491,1.720144232,1.534850123,1.37579291,1.278633717,1.307712303,1.333161226,1.417745451,1.495319136,1.470728266,1.588767931,8
1.279108596,1.436911267,1.602864293,1.783181325,1.930842048,2.064431496,2.183586265,2.273123126,2.312812771,2.345599842,2.301098022,2.224416966,2.119395104,2.017957837,1.993698172,4
1.438388216,1.625548703,1.795473856,1.988824154,2.124551017,2.216231751,2.323286964,2.389069593,2.364038993,2.339294473,2.246174213,2.145544352,2.033204628,1.947385745,1.93545075,4
2.526027895,2.641483029,2.531948944,2.548596933,2.46772773,2.186139645,2.006707177,1.754678852,1.534674702,1.465325483,1.383401575,1.394802798,1.449227318,1.514343789,1.719941658,8
2.539621409,2.656569617,2.542694085,2.55693233,2.46890698,2.185323064,2.005056234,1.75299439,1.534530468,1.469505711,1.390526824,1.402029078,1.456932579,1.524655188,1.731797605,8
1.758664819,1.922761059,2.015588001,2.164387689,2.256987235,2.312670473,2.377718849,2.405582615,2.394868548,2.424799078,2.391936748,2.320698033,2.21614288,2.075388271,2.059656787,4
1.61443107,1.827968636,1.990915421,2.166610137,2.282108279,2.342866508,2.428315982,2.449353835,2.383317968,2.338120056,2.233253088,2.127691432,2.019446979,1.928371863,1.906604539,4
2.532707527,2.747391567,2.691005881,2.72709134,2.706302531,2.496697393,2.394411729,2.207069912,1.985582768,1.815285495,1.602708822,1.493139539,1.428796485,1.454315016,1.728298943,1
1.541012627,1.73786557,1.901402667,2.087379374,2.210675434,2.28561237,2.381808633,2.429508391,2.386704608,2.353565702,2.25611726,2.154293243,2.040696142,1.950511375,1.937517167,4
1.927273068,2.171101211,2.280300472,2.445197796,2.538309159,2.52566982,2.545477891,2.500382289,2.393506349,2.33419922,2.227288923,2.127561651,2.015145221,1.867607497,1.823203217,4
2.350197122,2.494815614,2.409396001,2.420373543,2.407132038,2.167499617,2.005302325,1.751817388,1.534257515,1.436032409,1.335945759,1.33750348,1.401318932,1.433774876,1.60030374,8
1.656183053,1.85441708,1.991368414,2.163482798,2.272146718,2.333169427,2.41123147,2.455515917,2.428603244,2.408806082,2.323723357,2.232300286,2.115472855,1.995988691,1.993096642,4
1.738830205,1.956461019,2.090258848,2.261209033,2.365776851,2.40417594,2.474715091,2.492482203,2.422589513,2.385678989,2.28933086,2.187167015,2.070748877,1.9611141,1.945726115,4
1.435041392,1.614762205,1.77581042,1.963271901,2.096360949,2.198046031,2.301620932,2.374347539,2.376179111,2.368868213,2.290867489,2.197844084,2.083669705,1.985414699,1.973109161,4
2.786230468,2.882781965,2.704272499,2.681272042,2.714850728,2.927145998,2.904462104,2.623942325,2.809516,2.794955263,2.526035317,2.678589329,2.479525875,2.334523461,2.382995424,1
2.603458982,2.730245207,2.656499918,2.653535061,2.733330174,2.887079006,2.876012206,2.714220714,2.827986583,2.821741135,2.623424774,2.705859233,2.604652059,2.539042757,2.577809659,1
2.648333366,2.727381024,2.59046386,2.555934086,2.574842653,2.740884225,2.709245102,2.477259947,2.637124506,2.623855287,2.371854155,2.489372,2.355840259,2.257733135,2.317240182,1
0.943046332,1.043250642,1.06503196,1.115607137,1.245599548,1.352222873,1.508196357,1.661325027,1.854958432,2.042984228,2.183835703,2.332453776,2.472601235,2.57733855,2.605901663,0
1.294742058,1.347422965,1.450773064,1.513461497,1.575916445,1.636996483,1.68697151,1.760900186,1.929261931,2.063567448,2.116033667,2.179006721,2.264542677,2.331213876,2.398453101,4
2.272789578,2.489388917,2.476802835,2.459168232,2.53450877,2.688337341,2.749880208,2.670479392,2.774614503,2.811199797,2.682808997,2.750079846,2.682502451,2.631278596,2.631483393,3
1.361029412,1.444643389,1.557822732,1.616457436,1.702270503,1.766030952,1.824644062,1.918118671,2.075226064,2.180575409,2.225509058,2.305326097,2.367627186,2.425380323,2.479458546,4
2.272608324,2.399464199,2.398813041,2.407943329,2.458102929,2.578178006,2.578697133,2.487265629,2.584197098,2.588376941,2.458197226,2.485344267,2.423287271,2.398429602,2.431658164,4
