label,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,kmeans
2.3,3.355800626,3.458121865,3.577356519,3.772786692,3.90437582,3.904200981,3.84398174,3.98260604,3.97010367,3.917548375,3.957955408,3.902374833,3.926808129,3.871720702,3.805962639,6
2.1,3.062462747,3.255515387,3.418020247,3.637669051,3.784635901,3.820106227,3.887156547,4.140870249,4.199355798,4.230405987,4.313227553,4.282900833,4.263144524,4.165934523,4.076504217,5
2.8,1.043609612,1.190122343,1.319165171,1.553875039,1.772772233,2.023082906,2.282415461,2.673344445,2.989719352,3.239222874,3.539957293,3.68133844,3.834341924,3.914617824,4.021436991,0
4.5,0.375312569,0.414704965,0.479952775,0.58847427,0.689364655,0.822209866,0.92778462,1.120913608,1.270949674,1.442775809,1.699404914,1.94219746,2.235944673,2.515292688,2.843250185,7
1.5,3.19777531,3.336220722,3.453144261,3.658946138,3.792652121,3.850126187,3.927788489,4.120244416,4.149449182,4.159689988,4.199436346,4.15126019,4.112819776,3.997762866,3.909871843,5
6.2,0.32189676,0.390285552,0.386456872,0.455998031,0.503810026,0.603084865,0.69667602,0.864391954,0.985906302,1.153812004,1.372777844,1.524556613,1.691665284,1.860183946,2.062980434,7
4.2,1.291403273,1.489209338,1.636914181,1.833712178,2.067723259,2.342732741,2.482113547,2.749020343,2.895497278,2.99246441,3.155948085,3.187371499,3.259350327,3.246254528,3.263778244,0
6.1,0.817174457,0.990418267,1.141162723,1.290004533,1.459245428,1.64775822,1.763483319,2.01594899,2.181861193,2.359804752,2.589166519,2.735147515,2.900561469,2.966704079,3.048653037,0
1,2.340207375,2.595774207,2.791012044,3.035909256,3.194482724,3.297566494,3.396447104,3.687971848,3.866351117,3.951189521,4.063645625,4.059376583,4.067905544,3.991652951,3.925621138,5
4.7,0.635102709,0.778893879,0.897666693,1.095442592,1.252626349,1.373555213,1.527941016,1.767493319,1.999856562,2.207368675,2.472550021,2.60989377,2.790430906,2.919730479,3.030717969,7
1.4,3.553030846,3.584923734,3.680281873,3.856437021,3.960445988,3.932523526,3.867593524,4.001227573,3.970145452,3.893215469,3.93289377,3.885834221,3.907037228,3.849559884,3.787273333,6
3.9,1.255854404,1.426994964,1.606412209,1.866676573,2.075918819,2.291772551,2.519299958,2.947231674,3.262969,3.424172456,3.625814737,3.694695219,3.84003404,3.883988255,3.947220025,0
1.9,2.205014823,2.466279556,2.743321766,3.147089206,3.420170346,3.557606521,3.647248042,3.897354332,4.028264334,4.11628404,4.301548185,4.332352667,4.392628475,4.358343973,4.317428406,5
2.6,2.201286854,2.417713619,2.653058556,2.995507641,3.299687517,3.496008885,3.569721384,3.816080882,3.883704326,3.893948845,3.991060714,3.985341278,4.060029308,4.047645274,4.022751814,6
2.2,2.319165541,2.5413216,2.78511055,3.126799833,3.415638298,3.587671859,3.63866724,3.869496685,3.935414063,3.940303586,4.026559567,4.025202442,4.099318803,4.077740532,4.036477387,6
4.6,1.561251546,1.782416097,1.938737376,2.149880721,2.404548407,2.669625884,2.771122856,3.000945288,3.101846666,3.14731192,3.275087247,3.272245824,3.314345355,3.27634932,3.263439365,0
4.2,3.296292658,3.494364199,3.691711743,3.913426485,4.05894114,4.107830561,4.104500037,4.295283886,4.352032987,4.373332628,4.443740231,4.378308765,4.396399437,4.329943339,4.268925876,5
1.6,1.177481983,1.342055354,1.513798718,1.8230797,2.099445217,2.351604805,2.585663065,2.95785382,3.220928422,3.417076794,3.71010611,3.822869849,3.970654173,4.037140337,4.097488899,0
1,1.936805617,2.205853772,2.456910774,2.765554411,2.958513663,3.058178406,3.152310417,3.445549773,3.682947574,3.841501042,4.003177295,4.021843609,4.067433772,4.01885487,3.974054254,5
3.7,0.332572407,0.406012848,0.452352343,0.560099147,0.660259322,0.787218369,0.883516918,1.056381737,1.148364622,1.21006741,1.393952713,1.562766029,1.83337012,2.10274506,2.44206983,7
5.5,0.21349238,0.258000575,0.316755772,0.388360128,0.457788306,0.580249088,0.70056406,0.83310569,0.88069408,0.8921878,1.04023606,1.09305651,1.179698378,1.280493167,1.43454668,7
26,0.32754866,0.358823658,0.35531123,0.422888035,0.466887892,0.528609907,0.593384208,0.695271666,0.77572378,0.896076288,1.086443801,1.216887139,1.367774008,1.520340538,1.679040738,7
25.5,0.212856304,0.232988098,0.285766537,0.357510525,0.422672867,0.528658394,0.618047827,0.737971634,0.819010067,0.825511232,0.971549741,0.987976574,1.051083282,1.126362996,1.239277096,7
29.9,0.251575128,0.254825668,0.302720988,0.373323335,0.426653977,0.480535272,0.549922395,0.693289945,0.794252953,0.768676193,0.922170958,0.955271908,0.980961526,1.022961204,1.073490786,7
1.3,2.620968466,2.777924448,3.148394823,3.382802129,3.493577341,3.667784425,3.675049609,3.747513695,3.755229844,3.798528589,3.83823642,3.820827291,3.77092292,3.717485674,3.620992427,6
1.7,1.442925397,1.600081908,1.872004869,2.130269048,2.361780435,2.700833859,2.868378256,3.052176667,3.200568874,3.346278749,3.444529583,3.537956263,3.550475493,3.551914676,3.564002099,5
1.9,1.409590296,1.564860644,1.828885388,2.078890652,2.302210403,2.63145578,2.793054022,2.975949721,3.122336405,3.265155126,3.361045955,3.453725719,3.463534238,3.469338695,3.485977366,5
